dataset_id,repeat_id,fold_id,sample_id,split,class_label
GDS2771,1,1,GSM93997,train,no_cancer
GDS2771,1,1,GSM94077,train,no_cancer
GDS2771,1,1,GSM94078,train,no_cancer
GDS2771,1,1,GSM94080,train,no_cancer
GDS2771,1,1,GSM94082,train,no_cancer
GDS2771,1,1,GSM94083,train,no_cancer
GDS2771,1,1,GSM94084,train,no_cancer
GDS2771,1,1,GSM94085,train,no_cancer
GDS2771,1,1,GSM94086,train,no_cancer
GDS2771,1,1,GSM94087,train,no_cancer
GDS2771,1,1,GSM94088,train,no_cancer
GDS2771,1,1,GSM94089,train,no_cancer
GDS2771,1,1,GSM94090,train,no_cancer
GDS2771,1,1,GSM94091,train,no_cancer
GDS2771,1,1,GSM94092,train,no_cancer
GDS2771,1,1,GSM94093,train,no_cancer
GDS2771,1,1,GSM94094,train,no_cancer
GDS2771,1,1,GSM94095,train,no_cancer
GDS2771,1,1,GSM94096,train,no_cancer
GDS2771,1,1,GSM94097,train,no_cancer
GDS2771,1,1,GSM94099,train,no_cancer
GDS2771,1,1,GSM94100,train,no_cancer
GDS2771,1,1,GSM94101,train,no_cancer
GDS2771,1,1,GSM94102,train,no_cancer
GDS2771,1,1,GSM94103,train,no_cancer
GDS2771,1,1,GSM94104,train,no_cancer
GDS2771,1,1,GSM94105,train,no_cancer
GDS2771,1,1,GSM94106,train,no_cancer
GDS2771,1,1,GSM94107,train,no_cancer
GDS2771,1,1,GSM94108,train,no_cancer
GDS2771,1,1,GSM94109,train,no_cancer
GDS2771,1,1,GSM94110,train,no_cancer
GDS2771,1,1,GSM94111,train,no_cancer
GDS2771,1,1,GSM94113,train,no_cancer
GDS2771,1,1,GSM94114,train,no_cancer
GDS2771,1,1,GSM94115,train,no_cancer
GDS2771,1,1,GSM94116,train,no_cancer
GDS2771,1,1,GSM94117,train,no_cancer
GDS2771,1,1,GSM94119,train,no_cancer
GDS2771,1,1,GSM94120,train,no_cancer
GDS2771,1,1,GSM94121,train,no_cancer
GDS2771,1,1,GSM94122,train,no_cancer
GDS2771,1,1,GSM94123,train,no_cancer
GDS2771,1,1,GSM94124,train,no_cancer
GDS2771,1,1,GSM94125,train,no_cancer
