dataset_id,repeat_id,fold_id,sample_id,split,class_label
GSE19804,1,1,GSM494556,train,tumor
GSE19804,1,1,GSM494557,train,tumor
GSE19804,1,1,GSM494558,train,tumor
GSE19804,1,1,GSM494559,train,tumor
GSE19804,1,1,GSM494560,train,tumor
GSE19804,1,1,GSM494561,train,tumor
GSE19804,1,1,GSM494562,train,tumor
GSE19804,1,1,GSM494563,train,tumor
GSE19804,1,1,GSM494564,train,tumor
GSE19804,1,1,GSM494565,train,tumor
GSE19804,1,1,GSM494566,train,tumor
GSE19804,1,1,GSM494567,train,tumor
GSE19804,1,1,GSM494568,train,tumor
GSE19804,1,1,GSM494569,train,tumor
GSE19804,1,1,GSM494570,train,tumor
GSE19804,1,1,GSM494571,train,tumor
GSE19804,1,1,GSM494574,train,tumor
GSE19804,1,1,GSM494575,train,tumor
GSE19804,1,1,GSM494577,train,tumor
GSE19804,1,1,GSM494579,train,tumor
GSE19804,1,1,GSM494580,train,tumor
GSE19804,1,1,GSM494581,train,tumor
GSE19804,1,1,GSM494582,train,tumor
GSE19804,1,1,GSM494583,train,tumor
GSE19804,1,1,GSM494584,train,tumor
GSE19804,1,1,GSM494585,train,tumor
GSE19804,1,1,GSM494586,train,tumor
GSE19804,1,1,GSM494588,train,tumor
GSE19804,1,1,GSM494589,train,tumor
GSE19804,1,1,GSM494590,train,tumor
GSE19804,1,1,GSM494591,train,tumor
GSE19804,1,1,GSM494592,train,tumor
GSE19804,1,1,GSM494593,train,tumor
GSE19804,1,1,GSM494594,train,tumor
GSE19804,1,1,GSM494595,train,tumor
GSE19804,1,1,GSM494596,train,tumor
GSE19804,1,1,GSM494597,train,tumor
GSE19804,1,1,GSM494598,train,tumor
GSE19804,1,1,GSM494599,train,tumor
GSE19804,1,1,GSM494600,train,tumor
GSE19804,1,1,GSM494602,train,tumor
GSE19804,1,1,GSM494603,train,tumor
GSE19804,1,1,GSM494604,train,tumor
GSE19804,1,1,GSM494605,train,tumor
GSE19804,1,1,GSM494606,train,tumor
GSE19804,1,1,GSM494607,train,tumor
GSE19804,1,1,GSM494608,train,tumor
GSE19804,1,1,GSM494609,train,tumor
GSE19804,1,1,GSM494610,train,tumor
GSE19804,1,1,GSM494611,train,tumor
GSE19804,1,1,GSM494612,train,tumor
GSE19804,1,1,GSM494613,train,tumor
GSE19804,1,1,GSM494614,train,tumor
GSE19804,1,1,GSM494615,train,tumor
GSE19804,1,1,GSM494616,train,normal
GSE19804,1,1,GSM494618,train,normal
GSE19804,1,1,GSM494619,train,normal
GSE19804,1,1,GSM494620,train,normal
GSE19804,1,1,GSM494621,train,normal
GSE19804,1,1,GSM494622,train,normal
GSE19804,1,1,GSM494623,train,normal
GSE19804,1,1,GSM494624,train,normal
GSE19804,1,1,GSM494626,train,normal
GSE19804,1,1,GSM494627,train,normal
GSE19804,1,1,GSM494628,train,normal
GSE19804,1,1,GSM494629,train,normal
GSE19804,1,1,GSM494630,train,normal
GSE19804,1,1,GSM494631,train,normal
GSE19804,1,1,GSM494632,train,normal
GSE19804,1,1,GSM494633,train,normal
GSE19804,1,1,GSM494634,train,normal
GSE19804,1,1,GSM494635,train,normal
GSE19804,1,1,GSM494636,train,normal
GSE19804,1,1,GSM494637,train,normal
GSE19804,1,1,GSM494638,train,normal
GSE19804,1,1,GSM494639,train,normal
GSE19804,1,1,GSM494640,train,normal
GSE19804,1,1,GSM494641,train,normal
GSE19804,1,1,GSM494642,train,normal
GSE19804,1,1,GSM494643,train,normal
GSE19804,1,1,GSM494644,train,normal
GSE19804,1,1,GSM494645,train,normal
GSE19804,1,1,GSM494646,train,normal
GSE19804,1,1,GSM494648,train,normal
GSE19804,1,1,GSM494649,train,normal
GSE19804,1,1,GSM494650,train,normal
GSE19804,1,1,GSM494651,train,normal
GSE19804,1,1,GSM494652,train,normal
GSE19804,1,1,GSM494653,train,normal
GSE19804,1,1,GSM494654,train,normal
GSE19804,1,1,GSM494655,train,normal
GSE19804,1,1,GSM494656,train,normal
GSE19804,1,1,GSM494657,train,normal
GSE19804,1,1,GSM494658,train,normal
GSE19804,1,1,GSM494659,train,normal
GSE19804,1,1,GSM494660,train,normal
GSE19804,1,1,GSM494661,train,normal
GSE19804,1,1,GSM494662,train,normal
GSE19804,1,1,GSM494663,train,normal
GSE19804,1,1,GSM494665,train,normal
GSE19804,1,1,GSM494666,train,normal
GSE19804,1,1,GSM494667,train,normal
GSE19804,1,1,GSM494668,train,normal
GSE19804,1,1,GSM494670,train,normal
GSE19804,1,1,GSM494672,train,normal
GSE19804,1,1,GSM494673,train,normal
GSE19804,1,1,GSM494674,train,normal
GSE19804,1,1,GSM494675,train,normal
GSE19804,1,1,GSM494572,test,tumor
GSE19804,1,1,GSM494573,test,tumor
GSE19804,1,1,GSM494576,test,tumor
GSE19804,1,1,GSM494578,test,tumor
GSE19804,1,1,GSM494587,test,tumor
GSE19804,1,1,GSM494601,test,tumor
GSE19804,1,1,GSM494617,test,normal
GSE19804,1,1,GSM494625,test,normal
GSE19804,1,1,GSM494647,test,normal
GSE19804,1,1,GSM494664,test,normal
GSE19804,1,1,GSM494669,test,normal
GSE19804,1,1,GSM494671,test,normal
GSE19804,1,2,GSM494556,train,tumor
GSE19804,1,2,GSM494557,train,tumor
GSE19804,1,2,GSM494558,train,tumor
GSE19804,1,2,GSM494559,train,tumor
GSE19804,1,2,GSM494560,train,tumor
GSE19804,1,2,GSM494562,train,tumor
GSE19804,1,2,GSM494564,train,tumor
GSE19804,1,2,GSM494565,train,tumor
GSE19804,1,2,GSM494566,train,tumor
GSE19804,1,2,GSM494567,train,tumor
GSE19804,1,2,GSM494568,train,tumor
GSE19804,1,2,GSM494569,train,tumor
GSE19804,1,2,GSM494570,train,tumor
GSE19804,1,2,GSM494571,train,tumor
GSE19804,1,2,GSM494572,train,tumor
GSE19804,1,2,GSM494573,train,tumor
GSE19804,1,2,GSM494575,train,tumor
GSE19804,1,2,GSM494576,train,tumor
GSE19804,1,2,GSM494577,train,tumor
GSE19804,1,2,GSM494578,train,tumor
GSE19804,1,2,GSM494579,train,tumor
GSE19804,1,2,GSM494581,train,tumor
GSE19804,1,2,GSM494582,train,tumor
GSE19804,1,2,GSM494583,train,tumor
GSE19804,1,2,GSM494584,train,tumor
GSE19804,1,2,GSM494585,train,tumor
GSE19804,1,2,GSM494586,train,tumor
GSE19804,1,2,GSM494587,train,tumor
GSE19804,1,2,GSM494588,train,tumor
GSE19804,1,2,GSM494589,train,tumor
GSE19804,1,2,GSM494590,train,tumor
GSE19804,1,2,GSM494591,train,tumor
GSE19804,1,2,GSM494592,train,tumor
GSE19804,1,2,GSM494593,train,tumor
GSE19804,1,2,GSM494594,train,tumor
GSE19804,1,2,GSM494595,train,tumor
GSE19804,1,2,GSM494596,train,tumor
GSE19804,1,2,GSM494597,train,tumor
GSE19804,1,2,GSM494598,train,tumor
GSE19804,1,2,GSM494599,train,tumor
GSE19804,1,2,GSM494600,train,tumor
GSE19804,1,2,GSM494601,train,tumor
GSE19804,1,2,GSM494602,train,tumor
GSE19804,1,2,GSM494603,train,tumor
