dataset_id,repeat_id,fold_id,sample_id,split,class_label
GDS2771,1,1,GSM93997,train,no_cancer
GDS2771,1,1,GSM94077,train,no_cancer
GDS2771,1,1,GSM94079,train,no_cancer
GDS2771,1,1,GSM94080,train,no_cancer
GDS2771,1,1,GSM94081,train,no_cancer
GDS2771,1,1,GSM94083,train,no_cancer
GDS2771,1,1,GSM94086,train,no_cancer
GDS2771,1,1,GSM94090,train,no_cancer
GDS2771,1,1,GSM94095,train,no_cancer
GDS2771,1,1,GSM94096,train,no_cancer
GDS2771,1,1,GSM94100,train,no_cancer
GDS2771,1,1,GSM94101,train,no_cancer
GDS2771,1,1,GSM94106,train,no_cancer
GDS2771,1,1,GSM94108,train,no_cancer
GDS2771,1,1,GSM94109,train,no_cancer
GDS2771,1,1,GSM94112,train,no_cancer
GDS2771,1,1,GSM94114,train,no_cancer
GDS2771,1,1,GSM94117,train,no_cancer
GDS2771,1,1,GSM94118,train,no_cancer
GDS2771,1,1,GSM94119,train,no_cancer
GDS2771,1,1,GSM94120,train,no_cancer
GDS2771,1,1,GSM94121,train,no_cancer
GDS2771,1,1,GSM94123,train,no_cancer
GDS2771,1,1,GSM94124,train,no_cancer
GDS2771,1,1,GSM94125,train,no_cancer
GDS2771,1,1,GSM94126,train,no_cancer
GDS2771,1,1,GSM94129,train,no_cancer
GDS2771,1,1,GSM94130,train,no_cancer
GDS2771,1,1,GSM94131,train,no_cancer
GDS2771,1,1,GSM94132,train,no_cancer
GDS2771,1,1,GSM94134,train,no_cancer
GDS2771,1,1,GSM94140,train,no_cancer
GDS2771,1,1,GSM94141,train,no_cancer
GDS2771,1,1,GSM94142,train,no_cancer
GDS2771,1,1,GSM94144,train,no_cancer
GDS2771,1,1,GSM94145,train,no_cancer
GDS2771,1,1,GSM98788,train,no_cancer
GDS2771,1,1,GSM98789,train,no_cancer
GDS2771,1,1,GSM98792,train,no_cancer
GDS2771,1,1,GSM98793,train,no_cancer
GDS2771,1,1,GSM98795,train,no_cancer
GDS2771,1,1,GSM98797,train,no_cancer
GDS2771,1,1,GSM98799,train,no_cancer
GDS2771,1,1,GSM98800,train,no_cancer
GDS2771,1,1,GSM98801,train,no_cancer
